"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"TG_NT-TG_EGCG"	-0.0137600728999168	0.192976116451154	-0.0713045383696473	19	0.943900596188427	0.976787381170102
"A2A5R2"	"TG_NT-TG_EGCG"	0.476131695188543	0.13976419259221	3.40667868040961	13	0.00468186017372108	0.0378805050419251
"A2A699"	"TG_NT-TG_EGCG"	0.283690522955711	0.325682375525976	0.871065013872954	5	0.423560985434343	0.683224788466815
"A2A791"	"TG_NT-TG_EGCG"	0.550871093357785	0.289879916783428	1.9003423882219	4	0.130187427802043	0.354875377469582
"A2A8U2"	"TG_NT-TG_EGCG"	-0.19300266946923	0.113091814470017	-1.70660158185364	25	0.100289864453342	0.300026821389831
"A2A8Z1"	"TG_NT-TG_EGCG"	-0.316881728620756	0.140515739767698	-2.2551333334232	7	0.0587515769218463	0.216069849010096
"A2AAE1"	"TG_NT-TG_EGCG"	-0.495417992748888	0.226920022727955	-2.18322731856423	5	0.0807835053007366	0.261682692329957
"A2ADY9"	"TG_NT-TG_EGCG"	-0.243836604279591	0.104314766510397	-2.33750802917522	4	0.0795950808500812	0.258538766264862
"A2AG50"	"TG_NT-TG_EGCG"	0.0389904608039294	0.0682385990487342	0.571384250958661	33	0.571610606457437	0.785082468745554
"A2AGT5"	"TG_NT-TG_EGCG"	-0.0306893021848477	0.0626779458235956	-0.489634779531885	180	0.624988544883231	0.817216106483392
"A2AHC3"	"TG_NT-TG_EGCG"	-0.101202677302927	0.127830801146782	-0.791692427764107	10	0.446912363485553	0.699036913009038
"A2AJA9"	"TG_NT-TG_EGCG"	0.507378635600821	0.208137711152691	2.43770642422701	6	0.0506292506055863	0.197199269317163
"A2AJI0"	"TG_NT-TG_EGCG"	-0.203620755954108	0.171940835886399	-1.18424895926782	28	0.246270327472837	0.507903867533177
"A2ALS5"	"TG_NT-TG_EGCG"	-0.0154663580627569	0.0657693107771519	-0.235160713712845	96	0.814584889972822	0.921487832317523
"A2AN08"	"TG_NT-TG_EGCG"	-0.0971982530796599	0.0496593243199827	-1.95730115966455	53	0.0555875972447728	0.208624831939396
"A2APY7"	"TG_NT-TG_EGCG"	0.313121258673677	0.211176551113918	1.48274634196846	5	0.198246716040664	0.452989928822056
"A2AQ19"	"TG_NT-TG_EGCG"	-0.205667552208461	0.186916595870002	-1.10031723641864	6	0.313368508165609	0.589013668991324
"A2AQ25"	"TG_NT-TG_EGCG"	-0.13386969028953	0.143429915891017	-0.933345665427624	9	0.375003272393572	0.646667331216156
"A2ARP1"	"TG_NT-TG_EGCG"	0.189653921327124	0.330980311557991	0.573006655394048	7	0.584568662150614	0.790677977680921
"A2ASS6"	"TG_NT-TG_EGCG"	-0.087724332132343	0.0422640805098855	-2.07562381753045	27	0.0475798058572485	0.189467683279424
"A2ASZ8"	"TG_NT-TG_EGCG"	0.151217541949444	0.0809759177837446	1.8674384445174	44	0.0685106886974218	0.237024345736464
"A2AVJ5"	"TG_NT-TG_EGCG"	0.161500093220437	0.34990491186675	0.46155423300242	7	0.658401126775792	0.837951304005051
"A2AWA9"	"TG_NT-TG_EGCG"	-0.20895844625528	0.0692168329288336	-3.01889637843043	16	0.00815161688309951	0.0562398374105315
"A2BDX3"	"TG_NT-TG_EGCG"	-0.638185975041779	0.288745184348429	-2.21020473980158	6	0.0691238016094711	0.238219490541836
"A2CG49"	"TG_NT-TG_EGCG"	0.122193403273373	0.264527151076919	0.461931422827147	5	0.663532820442708	0.840074284638492
"A2RSJ4"	"TG_NT-TG_EGCG"	-0.017078720525301	0.0725724218908106	-0.235333479031427	5	0.823284708707026	0.923665526260463
"A2RT62"	"TG_NT-TG_EGCG"	0.037232105751706	0.0923570846993922	0.403132102673993	7	0.698879996014141	0.859417197171102
"A4Q9E5"	"TG_NT-TG_EGCG"	0.0404811220068006	0.21863062853273	0.185157597901432	5	0.860381877827969	0.938610907323914
"A6H5Z3"	"TG_NT-TG_EGCG"	0.12984974196976	0.0415572399581571	3.12459975928388	3	0.0522842965577344	0.202097823827942
"A6H630"	"TG_NT-TG_EGCG"	0.288689257924966	0.056297910407263	5.12788584579015	6	0.0021614758409676	0.0211397087742985
"A6H6A9"	"TG_NT-TG_EGCG"	0.15217839635808	0.603568157257544	0.252131253990501	6	0.809354177147017	0.91819658082963
"A6X8Z5"	"TG_NT-TG_EGCG"	0.237756768234385	0.126590178793578	1.87816124837046	4	0.13356475619677	0.361589758220913
"B0F2B4"	"TG_NT-TG_EGCG"	0.141376497460878	0.896864980950585	0.157634092604479	6	0.879916295654174	0.948177464810904
"B0V2N1"	"TG_NT-TG_EGCG"	0.0981092583850195	0.0709616002985684	1.38256829006432	3	0.260741516900278	0.527558629480007
"B1AR13"	"TG_NT-TG_EGCG"	-0.158862343120261	0.263823998028761	-0.602152739353689	7	0.566058156777829	0.784111687987965
"B1AXV0"	"TG_NT-TG_EGCG"	-0.0713102058423884	0.11244967459189	-0.634152176084035	12	0.537882889259653	0.760771984809044
"B1AY13"	"TG_NT-TG_EGCG"	-0.212688543854424	0.227249312831498	-0.935926015372068	7	0.380467284109479	0.650871471133947
"B1AZP2"	"TG_NT-TG_EGCG"	0.325884917966678	0.111466538140147	2.92361208488365	11	0.013847729960563	0.0812156814820502
"B2RPU2"	"TG_NT-TG_EGCG"	-0.180470506592771	0.0634710202478229	-2.84335285439123	34	0.00750058378156249	0.0531913909608814
"B2RQC6"	"TG_NT-TG_EGCG"	0.198314959658863	0.0458206431107168	4.32807019272237	1	0.144554239942835	0.380349663116403
"B2RSH2"	"TG_NT-TG_EGCG"	0.00206835485459888	0.0640229153170751	0.0323064772098443	43	0.974377138567004	0.98616878485848
"B2RUJ5"	"TG_NT-TG_EGCG"	0.0196894475384679	0.0883521250700841	0.22285199731019	13	0.827113982037105	0.9253695085016
"B2RUR8"	"TG_NT-TG_EGCG"	0.225400635574312	0.0912429902448865	2.47033372064375	8	0.0386903148366529	0.165237107090446
"B2RXC1"	"TG_NT-TG_EGCG"	-0.0555185725251412	0.225899719160552	-0.245766452173776	6	0.814054086841395	0.921487832317523
"B2RXS4"	"TG_NT-TG_EGCG"	-0.0258016630898866	0.0732648309032521	-0.352169830623895	61	0.725924699471735	0.87638983987807
"B2RY56"	"TG_NT-TG_EGCG"	0.125717430728533	0.136849206263134	0.918656630618692	22	0.368238030975362	0.641655196463761
"B9EJA2"	"TG_NT-TG_EGCG"	-0.233357147518347	0.0919115782879945	-2.53893091452688	52	0.0141505125411783	0.0824481581777326
"B9EKR1"	"TG_NT-TG_EGCG"	-0.0310017246103286	0.0698644522183486	-0.443741038911153	114	0.658070908398477	0.837887136587475
"D3YXK2"	"TG_NT-TG_EGCG"	-0.0215597106843363	0.0900294726066803	-0.239473919596598	21	0.813059961631589	0.921226436476275
"D3YZP9"	"TG_NT-TG_EGCG"	-0.081409409703676	0.105720880115556	-0.770040975961356	16	0.45249585155773	0.702799529222167
"D3YZU1"	"TG_NT-TG_EGCG"	0.144989137343947	0.0587154468036692	2.46935253390401	127	0.01486389389069	0.0853475197594457
"D3Z7P3"	"TG_NT-TG_EGCG"	0.08335194118699	0.0660757359275014	1.26146065597278	164	0.208934251537503	0.468053803567556
"E9PUL5"	"TG_NT-TG_EGCG"	-0.259521058268685	0.0802432323942207	-3.23418001151429	32	0.0028308161210564	0.0258402702332328
"E9PV24"	"TG_NT-TG_EGCG"	-0.0516379803230265	0.128258697877518	-0.402608019397943	47	0.68906201546865	0.855619384397765
"E9PZQ0"	"TG_NT-TG_EGCG"	0.144744616535591	0.29922055338265	0.48373888390778	7	0.643336664780906	0.826505254653171
"E9Q1P8"	"TG_NT-TG_EGCG"	0.229608908724803	0.0938267279029597	2.44715886247547	1	0.246963870962677	0.508203110189092
