"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.158392494295928	0.124741772663058	1.26976305462457	18	0.220339851354141	0.466395041625535
"A2A5R2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.129877868167947	0.196040199986326	0.662506303181723	33	0.512247639287759	0.733363259237896
"A2A791"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.739112417812354	0.414018202969623	1.78521720183058	11	0.101793354866939	0.303442820823072
"A2A8U2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.170839801836467	0.163086176944644	-1.04754311516208	59	0.299121656608537	0.556518630587739
"A2A8Z1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.767296534927091	0.29099973375904	-2.63676026440094	15	0.0186788088061576	0.100731103514897
"A2AAE1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.795287957483472	0.876996399600684	-0.906831496509661	14	0.379839692203846	0.634477740831048
"A2ADY9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.649386382118571	0.154521548488697	-4.20256196284543	11	0.00147918438470995	0.0164428044829371
"A2AG50"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.305857150169657	0.099983159696816	-3.05908666116497	53	0.00347807485001184	0.0317916337749093
"A2AGT5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0382955513849683	0.0681942003009608	-0.561566104096226	397	0.574728545764618	0.771228414604701
"A2AHC3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0111668066866428	0.135782575389148	-0.0822403511985182	27	0.935062243935442	0.968798704931308
"A2AJA9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.630466746990414	0.47668877342475	1.32259617204922	13	0.208765781283022	0.449629301438308
"A2AJI0"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.271172744671324	0.192079634773691	-1.41177249212714	65	0.162786323777434	0.396159372695649
"A2ALS5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0483220792801549	0.111662014844231	0.432753066005161	207	0.665644707013177	0.829588303930346
"A2AN08"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.149416689622945	0.102192628103726	-1.46210829876384	68	0.148317898006691	0.381389340033952
"A2APY7"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.818913475340249	0.3421354204479	2.39353608658287	13	0.0324754770984157	0.151026307801809
"A2AQ19"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.446802613816707	0.236043890911535	-1.89287937972587	12	0.0827368568158868	0.268466298105034
"A2AQ25"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.818412730429325	0.350498323654371	-2.33499755974972	11	0.0395193696295901	0.171295736670151
"A2ARP1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.27712002250431	0.410305604259105	0.675399067494362	13	0.511257682230964	0.732554666514721
"A2ASS6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.386553743936975	0.150390963613805	-2.57032560100899	49	0.0132507049436601	0.0808175738687658
"A2ASZ8"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0457803762996813	0.154297850755816	-0.296701321991393	88	0.767393703346918	0.885464198691231
"A2AVJ5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0515044930832329	0.397694334669281	0.129507736453082	14	0.898798170902574	0.951319867403148
"A2AWA9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.24427222038104	0.176725126200234	-1.38221556624762	28	0.177833239298873	0.413347669817927
"A2BDX3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.840133310782452	0.297344643390329	-2.82545298682107	14	0.0134870543887864	0.0816110928100972
"A2CG49"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.150322787071878	0.36432298421136	-0.412608574222343	10	0.688600269523578	0.843403991809364
"A2RSJ4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.129822425978973	0.102727654509451	1.26375343230512	15	0.225606312339993	0.473470981926684
"A2RT62"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.440014065594501	0.104140283348385	-4.22520518906696	16	0.000643675056096971	0.00883706869844686
"A4Q9E5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.372033161875386	0.541024191718851	0.687646074925827	11	0.505916522722577	0.729110852003074
"A6H5Z3"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.166444204752268	0.309206708611184	0.538294287015503	9	0.603429770560888	0.789452919268344
"A6H630"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.398019633427983	0.0467405532944073	8.51550966718248	13	1.12140474772815e-06	5.01865033853403e-05
"A6H6A9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.414958001966664	0.631676491961988	0.65691537875314	13	0.522695390401068	0.74001985017341
"A6X8Z5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.11469683080545	0.20341869846404	0.563846055802613	9	0.586631941722621	0.778710967325174
"B0V2N1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0213306283352516	0.275200313863228	-0.0775094622379418	10	0.939747195481012	0.97073406343752
"B1AR13"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.168494996032422	0.366166925635715	-0.460158971867522	15	0.652001946260754	0.823595422129917
"B1AXV0"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.159517872366992	0.156982532085218	-1.01615046112518	18	0.323022581113572	0.581575660667381
"B1AY13"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.656130984285033	0.32953470952246	-1.99108307964237	14	0.0663571337676054	0.232858129290395
"B1AZP2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.885231509940583	0.133636682580572	6.62416555728897	14	1.14331488327846e-05	0.00035636682140653
"B2RPU2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.374458006374743	0.142269086401484	-2.63204056373863	63	0.0106604959398093	0.0709190521401215
"B2RQC6"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.885606869877674	0.38184013248328	-2.31931322702559	8	0.0489719037431158	0.194402239838379
"B2RSH2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.0448369598003773	0.0980990720525231	-0.457057940123748	102	0.648601340520351	0.821116906478005
"B2RUJ5"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.00481606844223401	0.139801000867755	0.0344494561007456	30	0.972746943055604	0.986778323747309
"B2RUR8"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.435790855590046	0.184807492874302	2.35808001511309	17	0.0306085298828374	0.14491075052925
"B2RXC1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.353654790477246	0.409877799155905	-0.862829826854629	12	0.405145518977466	0.653008165760687
"B2RXS4"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.173813615526267	0.126170480597536	-1.37760920544248	96	0.171527126956885	0.406527277809159
"B2RY56"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.419413765216392	0.228383167561787	1.83644779820703	31	0.0758978207378747	0.25499212414424
"B9EJA2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.190236660937757	0.120757233213936	-1.57536452164923	105	0.118180646416085	0.330024722487706
"B9EKR1"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.00908233134321797	0.0949296163353239	0.0956743711165551	249	0.923856149364375	0.963044566538118
"D3YXK2"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	0.0911217764966902	0.107108252774438	0.850744682471724	49	0.39904948559547	0.648551295857883
"D3YZP9"	"WT_NT+TG_NT__-__WT_EGCG+TG_EGCG"	-0.220184244727237	0.183412681611034	-1.2004853906132	17	0.246412486473314	0.500080935445842
