"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0658111605321966	0.123984822365116	0.530800135668164	18	0.602045717237958	0.834533202575222
"A2A5R2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0596153434734055	0.189998823340628	0.313766908790418	33	0.755672949735744	0.915629038252241
"A2A791"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0747381505424723	0.414018202969623	-0.180518996523339	11	0.860027956604734	0.952776264034536
"A2A8U2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.150898331232478	0.148449676758646	-1.01649484544054	59	0.313544180122539	0.635023230921806
"A2A8Z1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0111695727160953	0.2796864394986	0.0399360538756158	15	0.968670808814167	0.987057525052787
"A2AAE1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-1.54138006000676	0.876996399600684	-1.75756714703571	14	0.100655742548332	0.363584579477517
"A2ADY9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.142641642650319	0.158169843824036	-0.901825779185875	11	0.38647000286262	0.702471349065333
"A2AG50"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.11640846624985	0.0996190756374661	-1.16853590042819	53	0.247819997194985	0.569905078359292
"A2AGT5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.15552315363929	0.0681290317840965	2.2827735778214	397	0.0229717241019154	0.156443796947036
"A2AHC3"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.212399540837329	0.134084356123192	1.58407398878199	27	0.124821282860781	0.40087058782689
"A2AJA9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.232506213830473	0.47668877342475	0.487752652868332	13	0.633847723674848	0.852017772057512
"A2AJI0"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0408605080609249	0.185543061011319	0.220221159650009	65	0.826389126973664	0.940778636125288
"A2ALS5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.221966285314874	0.112215758945708	1.97803131574654	207	0.049251697969114	0.242746978675909
"A2AN08"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0015233057339754	0.102239783051874	0.0148993443501589	68	0.98815611173883	0.99683441184886
"A2APY7"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.177984915227469	0.3421354204479	0.520217740082167	13	0.611656896865023	0.839748871154132
"A2AQ19"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.033537185797351	0.236043890911535	-0.142080295608752	12	0.889374138656569	0.961953321346684
"A2AQ25"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.558201963657391	0.340244568608224	-1.64059037280367	11	0.129137231601296	0.407689486094935
"A2ARP1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.362224276045557	0.410305604259105	-0.882815814079924	13	0.393368149903413	0.707857255648647
"A2ASS6"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0295784175917218	0.148276895589042	0.199480960767482	49	0.842712045493478	0.944692813523268
"A2ASZ8"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0589060064301063	0.154236311322708	-0.381920482439816	88	0.703441065227554	0.886958620846744
"A2AVJ5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0378239232175122	0.397694334669281	-0.0951080262407214	14	0.925576924910057	0.974272879626051
"A2AWA9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.344958423598915	0.175667150289108	1.96370478505055	28	0.0595640833860678	0.264507514624213
"A2BDX3"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.569728063915199	0.29734464339033	1.91605289208895	14	0.0760056244029863	0.306323296118006
"A2CG49"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.836321389664521	0.36432298421136	-2.29554935018685	10	0.0445907339431799	0.228569343227467
"A2RSJ4"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.567666385556924	0.104669363399144	-5.4234244589049	15	7.05024215839067e-05	0.00347073349683061
"A2RT62"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0986431208698825	0.0906691716576081	1.08794553944296	16	0.292736511576675	0.612861493859794
"A4Q9E5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.926660274292663	0.541024191718851	-1.7127889814846	11	0.114758699982472	0.386975501330743
"A6H5Z3"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.139290904181152	0.292970978967468	0.47544266900449	9	0.645798629502007	0.85560268613734
"A6H630"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.15824601657385	0.0468065876293539	-3.38084924769454	13	0.0049200974933501	0.0649603676708216
"A6H6A9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.764012993444863	0.631676491961988	1.20950043759241	13	0.248007177514331	0.569905078359292
"A6X8Z5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-1.04148446581308	0.20341869846404	-5.11990526769195	9	0.000628058717965452	0.0175958564399101
"B0V2N1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.112804945172127	0.275200313863228	-0.409901222816882	10	0.690521520344377	0.881243975683003
"B1AR13"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.925326178441097	0.366166925635715	2.52706105783477	15	0.0232297164490569	0.157888763083728
"B1AXV0"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.253882735152102	0.156744751107215	1.61972080952455	18	0.122679348085104	0.396207154171759
"B1AY13"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.221988841130004	0.32953470952246	-0.673643275549626	14	0.511507151942196	0.793521570095989
"B1AZP2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.285666825158005	0.136094724484634	2.09902938001289	14	0.0544307927919452	0.252787751969061
"B2RPU2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.198138714953612	0.140114076891169	-1.41412425753276	63	0.162248428461942	0.458601087060935
"B2RQC6"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.831703255602832	0.374322204677092	-2.22189131505115	8	0.0570136505761023	0.258852489967389
"B2RSH2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0868420138972389	0.0983449480324785	0.883034824204282	102	0.379293910323307	0.694360285568578
"B2RUJ5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.101451726701401	0.141000486322845	0.719513310536461	30	0.477392852943414	0.769394276180898
"B2RUR8"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.282636890033637	0.182675387458442	1.54720837856679	17	0.140226240958373	0.427249890665389
"B2RXC1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0568659880500456	0.409877799155905	0.138738883069916	12	0.891957579721684	0.962426852192284
"B2RXS4"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0292030466779761	0.125741293572744	0.232247067357244	96	0.816840508341644	0.936821870508347
"B2RY56"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0867493957557978	0.229128511253792	0.378605854335214	31	0.707561182962698	0.889874392879364
"B9EJA2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.199158116991846	0.120642351854958	1.65081427815071	105	0.101764556585791	0.365024569230824
"B9EKR1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.00339897437062222	0.0948446821060333	0.0358372688394092	249	0.971440828656788	0.987057525052787
"D3YXK2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.168623804270395	0.107387783337022	1.57023265617834	49	0.122796737128182	0.396214940209472
"D3YZP9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.14626295291886	0.185770150425692	-0.787332908886057	17	0.441926472224269	0.74516180048043
"D3YZU1"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0607379057854157	0.0844572980291537	-0.719155208641053	278	0.472649365293408	0.767908296913124
"D3Z7P3"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.326629886374145	0.0896424650639591	3.64369594411642	358	0.000308491105665443	0.0109593850528156
"E9PUL5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.236898569928042	0.0913970491073314	2.5919717566575	72	0.0115479427829719	0.106973685027207
"E9PV24"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0208112839993038	0.148206298800659	-0.140421049359687	94	0.888627789535334	0.961447837594588
"E9PZQ0"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.720782286649395	0.171660082054199	-4.19889282367825	12	0.00123432701714998	0.0265843181318678
"E9Q1P8"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.39903044533937	0.170079940447368	2.34613467225932	11	0.0387506793257215	0.210472500215313
"E9Q401"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0429689125970612	0.0809187999341898	-0.531012726733555	217	0.595953028635696	0.831736901728735
"E9Q557"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.165088833078467	0.140827142169002	1.17227993507353	16	0.258244345639841	0.578239126104544
"E9Q6B2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.267228686730405	0.335081971484706	0.797502430663007	12	0.440654992294353	0.74516180048043
"E9Q735"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.055563794063001	0.138040101759887	-0.402519219810857	17	0.692318254006911	0.88164401452617
"E9Q8I9"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.114306924334245	0.17455847317339	0.654834579245565	14	0.523188137630919	0.800722016620706
"F6SEU4"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.486696760981464	0.24016111265125	2.02654274711086	11	0.0676516396582505	0.282771911817015
"F6ZDS4"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.142133423257857	0.0741446954914916	1.91697359218594	204	0.0566385221211716	0.257488584735564
"F8VPU2"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.326958548505734	0.139035319145434	2.35162223897747	75	0.0213192740130372	0.149649204382117
"G3X9K3"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.490627829841415	0.175954502151851	2.78837894933769	27	0.00958715884261907	0.0944514316668186
"G5E829"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.00618733858253531	0.0836580541950066	-0.0739598672485574	401	0.941079197862559	0.980396638421196
"G5E8K5"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0871616018764566	0.0755083667645198	1.15433038233072	292	0.249308593430219	0.571221684149293
"O08529"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0233666215486004	0.100414935948873	0.232700656807645	325	0.816140334209069	0.936821870508347
"O08530"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.257637201848004	0.261083194906565	-0.986801168647434	15	0.339391290638598	0.658772584306079
"O08532"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.306418449043945	0.149951616658765	-2.04344878615908	13	0.0618223631484092	0.270012501152621
"O08539"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.134178644820366	0.0706485699268911	-1.89924077669538	294	0.0585115121877666	0.262198531858314
"O08547"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.383833234497771	0.165750847079949	-2.31572412002595	132	0.0221151184882853	0.152452584560078
"O08553"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.104957860526676	0.0948682287558835	1.10635417044367	428	0.269194706684187	0.586745704765154
"O08579"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.122346962921332	0.119357667338366	1.02504485593281	32	0.313028748309826	0.635023230921806
"O08581"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.143979474742489	0.351472654662103	-0.40964630628493	15	0.687855666802816	0.881243975683003
"O08582"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0403095303822623	0.100684826689257	-0.400353575684938	35	0.691329404071327	0.881363250022881
"O08583"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0847944860881362	0.138773163878159	0.611029421816632	64	0.54334425615806	0.81127778141366
"O08585"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.16154501005133	0.174141788988088	-0.927663664132796	85	0.356208772558434	0.673848001874588
"O08599"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0035907895199902	0.0528711247483518	-0.0679158905183332	608	0.945874917428899	0.981496764239073
"O08600"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0127293033873975	0.233322943229661	-0.0545565867256695	14	0.957262630893625	0.982999242090221
"O08638"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.231501376003678	0.193846760359346	-1.19424939356494	47	0.238372938462688	0.557281645822538
"O08663"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.258636028634784	0.148952434699986	1.73636657336766	32	0.092119101703847	0.344297640424573
"O08677"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.436022727829488	0.282128483186127	-1.54547574532499	25	0.134797225578899	0.417070469469359
"O08709"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.121285163535457	0.0691463623122304	1.75403534589128	298	0.0804523673698672	0.314469467073505
"O08739"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.00690332909581544	0.157785832974348	0.0437512605896486	32	0.96537455231184	0.986941048279716
"O08749"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.322919593068502	0.0924473650624243	3.49301024264405	230	0.000572664068202222	0.0167237320256344
"O08756"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0268694209746717	0.116202990944999	0.231228307947681	101	0.817605222447523	0.936839872760154
"O08759"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.173639290802738	0.176245185845903	-0.985214376037237	64	0.328228824385127	0.647495673084423
"O08784"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.144990534887368	0.163889980572537	-0.884682116508009	28	0.383862297972358	0.700259120599653
"O08788"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.118788569431147	0.0676317585063754	1.75640220001007	577	0.0795502131824048	0.314369305764412
"O08795"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0255393983838041	0.112450834875585	0.227116129569521	124	0.820707457540848	0.93771813616902
"O08807"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0100847081312425	0.104588883671417	0.0964223708795408	62	0.923496130165504	0.974135052489924
"O08810"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.246372181429336	0.117683135172844	2.09352156591923	136	0.0381593759057925	0.210472500215313
"O08848"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.00687817054962786	0.114245878974234	-0.0602049772944468	154	0.952070439994916	0.982999242090221
"O08914"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.160392316983694	0.0880145304040449	-1.82233906432708	43	0.075362666116642	0.305170090996414
"O08915"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0505224713820985	0.0881835173775123	0.572924202669446	84	0.568226513227779	0.825540932145443
"O08917"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.144944723084898	0.109945057577669	-1.31833777959963	47	0.19377942227946	0.50626526851783
"O08919"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.120027846443379	0.269791216063688	0.444891602456933	15	0.662750676157009	0.868492339302787
"O08989"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0918114539360366	0.30701465425602	-0.299045835966758	11	0.770479184906701	0.921493334475662
"O08997"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.342668273934645	0.145260768382823	2.35898706684224	50	0.0222730294722107	0.153199320481513
"O09005"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.0115918906761249	0.315174630902758	-0.0367792631117616	12	0.971265766815981	0.987057525052787
"O09012"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.0240487327139756	0.184168591577487	0.130579989280405	7	0.899781003419803	0.965572426729843
"O09044"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-1.17915223339114	0.289187541670236	-4.07746553181652	32	0.000281587455017718	0.0102142144209585
"O09061"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.133911256661084	0.0807042328290152	-1.65928417837508	72	0.101408629588941	0.365024569230824
"O09111"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.59413798442775	0.122420371923729	4.85326073668453	50	1.23131333695792e-05	0.000900908703556397
"O09114"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	-0.183766251973538	0.213045717056654	-0.862567220371157	13	0.40400746034659	0.714538245144556
"O09117"	"WT_NT+WT_EGCG__-__TG_NT+TG_EGCG"	0.690591215773627	0.577688254210985	1.19543925419922	13	0.253267404926778	0.574940367178969
