"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"WT_NT-WT_EGCG"	0.036293254841501	0.042304222596782	0.857910927413231	9	0.413204391406873	0.6463971394985
"A2A5R2"	"WT_NT-WT_EGCG"	-0.247830928262263	0.117747081993239	-2.10477341830426	18	0.049623975255191	0.178373984225214
"A2A699"	"WT_NT-WT_EGCG"	-0.170753708171941	0.313484405822596	-0.544696019962705	5	0.609366569462799	0.789149558638158
"A2A791"	"WT_NT-WT_EGCG"	0.200780392556053	0.277398812764014	0.723796870489345	7	0.492663707906921	0.709969658798261
"A2A8U2"	"WT_NT-WT_EGCG"	0.116865291157961	0.0998857178674308	1.16999000110372	30	0.25121624598109	0.487947205950091
"A2A8Z1"	"WT_NT-WT_EGCG"	-0.307254384724964	0.198802994304574	-1.54552191630594	7	0.166137527206623	0.379922864080814
"A2AAE1"	"WT_NT-WT_EGCG"	-0.544799137195094	0.637242973942595	-0.854931571586337	8	0.417455371992864	0.649028417907146
"A2ADY9"	"WT_NT-WT_EGCG"	-0.273887468233007	0.0791606809375596	-3.45989277743889	6	0.0134690515626785	0.0767150328135168
"A2AG50"	"WT_NT-WT_EGCG"	-0.151737314666436	0.0759714640284794	-1.99729354444919	27	0.0559624627709332	0.193038815207898
"A2AGT5"	"WT_NT-WT_EGCG"	0.0328643971115111	0.0416941647644585	0.788225337938076	222	0.431405762876396	0.661127462432328
"A2AHC3"	"WT_NT-WT_EGCG"	0.18544132318701	0.0721158130913725	2.5714377365759	15	0.0212735011913012	0.102595942230068
"A2AJA9"	"WT_NT-WT_EGCG"	0.118236755865936	0.409701881941541	0.288592171716718	7	0.781252234153735	0.895309754488827
"A2AJI0"	"WT_NT-WT_EGCG"	-0.0572292000898094	0.0869919060409965	-0.657868101692577	42	0.514212681677544	0.727217215151328
"A2ALS5"	"WT_NT-WT_EGCG"	-0.0613773874267774	0.0664962717486263	-0.923019980109566	102	0.358175074578983	0.5961718770757
"A2AN08"	"WT_NT-WT_EGCG"	-0.0796026763191466	0.0550862349485857	-1.44505567304506	57	0.153917678862945	0.36045952547962
"A2APY7"	"WT_NT-WT_EGCG"	0.500106270738502	0.242738902373269	2.06026420095395	8	0.0733298987489677	0.22892131674766
"A2AQ19"	"WT_NT-WT_EGCG"	-0.235589789467199	0.148081549104729	-1.5909462785305	6	0.16272602262363	0.373498988981038
"A2AQ25"	"WT_NT-WT_EGCG"	-0.882415871158282	0.232751153998172	-3.7912416587426	5	0.0127422036157037	0.0740052121325843
"A2ARP1"	"WT_NT-WT_EGCG"	0.0847175235712618	0.21460305951478	0.394763820063	6	0.706667985412104	0.855631199603161
"A2ASS6"	"WT_NT-WT_EGCG"	-0.0997715804242561	0.0763130813829048	-1.30739813694125	31	0.200691704433278	0.428651303490643
"A2ASZ8"	"WT_NT-WT_EGCG"	-0.148827158510813	0.0776981853356559	-1.91545218035506	45	0.0618026308873338	0.206028186096607
"A2AVJ5"	"WT_NT-WT_EGCG"	-0.111379560814168	0.201382147673167	-0.553075643005515	7	0.59742337219854	0.780889308006739
"A2AWA9"	"WT_NT-WT_EGCG"	-0.0510183504188388	0.0824756282858279	-0.618586987200988	14	0.546122032548014	0.748510040997333
"A2BDX3"	"WT_NT-WT_EGCG"	-0.206421374260458	0.141120430945906	-1.46273202878457	8	0.181686915871588	0.39982138387952
"A2CG49"	"WT_NT-WT_EGCG"	-0.277606887520456	0.255189913589776	-1.08784427885624	5	0.326299035365182	0.564914188980249
"A2RSJ4"	"WT_NT-WT_EGCG"	0.127255131174391	0.110385194217495	1.15282789577429	9	0.278679624132563	0.516742535090103
"A2RT62"	"WT_NT-WT_EGCG"	-0.368918882606958	0.0778952999984635	-4.73608654969215	8	0.00147134836697083	0.0170628169638551
"A4Q9E5"	"WT_NT-WT_EGCG"	0.326098434514904	0.463620993415282	0.703372882476022	6	0.508184327971856	0.722446932490536
"A6H5Z3"	"WT_NT-WT_EGCG"	0.291564185577661	0.123519807095175	2.36046503337724	5	0.0647136667859272	0.212527613205037
"A6H630"	"WT_NT-WT_EGCG"	-0.166305617023586	0.0813522540632821	-2.04426563146266	13	0.061731445922526	0.206028186096607
"A6H6A9"	"WT_NT-WT_EGCG"	0.258964953743451	0.251895850895323	1.02806359383452	7	0.338127460705147	0.576101087385105
"A6X8Z5"	"WT_NT-WT_EGCG"	-0.0873284024910751	0.0342975963766622	-2.54619599379558	6	0.0437141712126201	0.164590062813854
"B0V2N1"	"WT_NT-WT_EGCG"	0.0845912118790746	0.189154363101554	0.447207299329696	6	0.67041641961904	0.832314101857685
"B1AR13"	"WT_NT-WT_EGCG"	-0.0111619411558262	0.253367737643693	-0.0440543111748624	8	0.965940875550549	0.983302933209989
"B1AXV0"	"WT_NT-WT_EGCG"	0.0516120481805987	0.0787179158733329	0.655658214626121	9	0.528446580234264	0.737323690054671
"B1AY13"	"WT_NT-WT_EGCG"	-0.445349045678137	0.236831407717025	-1.88044757226734	7	0.102098712401478	0.282568971646345
"B1AZP2"	"WT_NT-WT_EGCG"	0.24173138373167	0.0818380289277451	2.95377817499851	13	0.0111903167054628	0.0680071309058795
"B2RPU2"	"WT_NT-WT_EGCG"	-0.060540017858387	0.0845807672758282	-0.715765768132118	37	0.478629091559622	0.697532384361921
"B2RQC6"	"WT_NT-WT_EGCG"	-0.470258155426108	0.256993073652233	-1.82984758594105	13	0.0902910297558281	0.260883082135773
"B2RSH2"	"WT_NT-WT_EGCG"	0.0229967604167987	0.0589983667158323	0.3897863906566	53	0.698256520122453	0.848638086065585
"B2RUJ5"	"WT_NT-WT_EGCG"	0.049014940780355	0.0772116197570768	0.634813010458346	15	0.535114032046317	0.741943681437799
"B2RUR8"	"WT_NT-WT_EGCG"	0.307881136234292	0.104126707771063	2.95679314966159	14	0.0104050282543859	0.0648941268593218
"B2RXC1"	"WT_NT-WT_EGCG"	0.105265649446626	0.269806963736544	0.390151714354613	5	0.712491362416032	0.857462384779008
"B2RXS4"	"WT_NT-WT_EGCG"	-0.0859668834713531	0.0831957103551348	-1.03330908654291	65	0.305288613455422	0.54701409614581
"B2RY56"	"WT_NT-WT_EGCG"	0.461667058435448	0.138931768925639	3.32297689726062	15	0.00463527507934502	0.0366567342984889
"B9EJA2"	"WT_NT-WT_EGCG"	0.0310619777952723	0.0708970722564245	0.438127792963376	52	0.663108356223767	0.827708329724067
"B9EKR1"	"WT_NT-WT_EGCG"	0.0530193356219446	0.0607964511600713	0.872079448886742	126	0.384823789800533	0.61981864504758
"D3YXK2"	"WT_NT-WT_EGCG"	0.0418969488026457	0.0361615882346191	1.15860366892115	33	0.254933737952246	0.492311471800702
"D3YZP9"	"WT_NT-WT_EGCG"	-0.17767793023055	0.0781735218059343	-2.2728658774212	9	0.049132316034505	0.177146790840004
"D3YZU1"	"WT_NT-WT_EGCG"	-0.00555059274918367	0.053780611771469	-0.103208062652205	150	0.917935696266849	0.961770769010615
"D3Z7P3"	"WT_NT-WT_EGCG"	-0.0120758805645429	0.0578928770436353	-0.208590092274063	186	0.834996493215042	0.921204802402247
"E9PUL5"	"WT_NT-WT_EGCG"	-0.0948027355530872	0.043014919622756	-2.20395008021668	36	0.0340078536200601	0.140894741997787
"E9PV24"	"WT_NT-WT_EGCG"	0.078834068835072	0.0660077708110595	1.19431497028928	46	0.238477049690789	0.474398106710195
"E9PZQ0"	"WT_NT-WT_EGCG"	0.120844373250718	0.0436073716455115	2.77119139931372	4	0.0502696272354792	0.180145563862097
"E9Q1P8"	"WT_NT-WT_EGCG"	-0.33568599083487	0.0996701141833196	-3.36797036489248	9	0.00828363323895509	0.0548674358917306
"E9Q401"	"WT_NT-WT_EGCG"	0.0284436070406912	0.0553405808127844	0.513973771560423	110	0.608301299189398	0.788448849933323
"E9Q557"	"WT_NT-WT_EGCG"	0.069041933566295	0.0892162031510857	0.773872134519936	8	0.461260824734036	0.684632621520892
"E9Q6B2"	"WT_NT-WT_EGCG"	-0.338942491769799	0.0693528878494312	-4.88721525923565	6	0.00274611740079678	0.0260402607147941
"E9Q735"	"WT_NT-WT_EGCG"	-0.229314669927299	0.0548534312450567	-4.18049818803203	8	0.00307751903814468	0.0282654539140247
"E9Q8I9"	"WT_NT-WT_EGCG"	-0.468784182249622	0.100496281940147	-4.66469179953162	14	0.000364778550492995	0.00654123115971808
"F6SEU4"	"WT_NT-WT_EGCG"	0.176300863844703	0.111987597702131	1.57428918435802	5	0.176235347691416	0.39118256560799
"F6ZDS4"	"WT_NT-WT_EGCG"	-0.0477312199055785	0.0488161235248945	-0.977775711363834	100	0.330544783822974	0.569200048871401
"F8VPU2"	"WT_NT-WT_EGCG"	-0.0515407659631232	0.0665731190843043	-0.774197854510242	54	0.442190342626686	0.670403000817541
"G3X9K3"	"WT_NT-WT_EGCG"	-0.112002466222263	0.0805470524903251	-1.39052221973878	15	0.184657986281713	0.404167882102982
"G5E829"	"WT_NT-WT_EGCG"	0.134128925265407	0.0582583568090993	2.30231219368098	219	0.0222568963032863	0.105103661181207
"G5E8K5"	"WT_NT-WT_EGCG"	0.0512279295169223	0.0458831423596276	1.11648694667429	169	0.26579863284864	0.504361461580279
"O08529"	"WT_NT-WT_EGCG"	0.0275188310326799	0.0621329051671236	0.442902693164924	171	0.658395890119243	0.824918973911357
"O08530"	"WT_NT-WT_EGCG"	-0.532161599771903	0.203577844989533	-2.61404476405212	8	0.0309353046035046	0.132376776100099
"O08532"	"WT_NT-WT_EGCG"	0.155928575926252	0.0955309705041489	1.63223062744327	12	0.128577285734767	0.323915854447202
"O08539"	"WT_NT-WT_EGCG"	0.0211405543508115	0.03648396869073	0.579447771431264	144	0.563192486513961	0.758759186996611
"O08547"	"WT_NT-WT_EGCG"	-0.0354687172131919	0.0815529459287517	-0.434916443658319	71	0.664942196561002	0.828425695398473
"O08553"	"WT_NT-WT_EGCG"	-0.00253855497210457	0.0513073154461488	-0.049477446832489	214	0.960584957506809	0.981678415111697
"O08579"	"WT_NT-WT_EGCG"	0.267198113393745	0.0697019527433687	3.8334379867021	15	0.00162807863211523	0.0184567760313832
"O08581"	"WT_NT-WT_EGCG"	-0.268523100417387	0.279658654506639	-0.960181621738481	8	0.365081281327546	0.603972166536731
"O08582"	"WT_NT-WT_EGCG"	0.00812652921662351	0.067216811132751	0.120900249203639	34	0.904481721742302	0.953263364065113
"O08583"	"WT_NT-WT_EGCG"	0.0102901414759991	0.0755798191153408	0.136149326585389	34	0.892506186844015	0.947083869724633
"O08585"	"WT_NT-WT_EGCG"	-0.328479946473137	0.087925566315083	-3.7358866168234	41	0.000570450064632633	0.00924573916312872
"O08599"	"WT_NT-WT_EGCG"	-0.0344107645608202	0.0375669094080629	-0.915986039390151	304	0.36040024908409	0.598285958295442
"O08600"	"WT_NT-WT_EGCG"	-0.290783455916266	0.184439617535024	-1.57657806821817	8	0.153543009680043	0.360216848614335
"O08638"	"WT_NT-WT_EGCG"	-0.14554822013766	0.113100503019224	-1.28689277458758	30	0.207973256390142	0.439165019613093
"O08663"	"WT_NT-WT_EGCG"	0.322195268686505	0.0573531255058437	5.61774560400682	16	3.85210988007589e-05	0.0013282843842085
"O08677"	"WT_NT-WT_EGCG"	-0.430820822112744	0.200751431716792	-2.14604109384644	11	0.055024457019011	0.191368244322755
"O08709"	"WT_NT-WT_EGCG"	0.0556876909000022	0.026373948474837	2.11146582595067	149	0.0364012069340252	0.146523465768389
"O08739"	"WT_NT-WT_EGCG"	-0.229544355455694	0.0954334698364098	-2.40528145784884	16	0.0286168192364333	0.126839210074267
"O08749"	"WT_NT-WT_EGCG"	0.218668001389406	0.0352161639380921	6.20930779893606	115	8.71265770641116e-09	2.37051310058279e-06
"O08756"	"WT_NT-WT_EGCG"	-0.0413495309667274	0.082047685733191	-0.503969497703945	52	0.61641145285257	0.793105605216276
"O08759"	"WT_NT-WT_EGCG"	-0.15170213803807	0.0943094372945173	-1.60855734473658	42	0.11520539789777	0.305334822662892
"O08784"	"WT_NT-WT_EGCG"	0.053462057385707	0.080186674789448	0.666719969696789	13	0.5166100419869	0.727891308022125
"O08788"	"WT_NT-WT_EGCG"	0.0221085574122479	0.0607791745515399	0.363752182805645	310	0.716291022529422	0.858493782565842
"O08795"	"WT_NT-WT_EGCG"	0.145518387243326	0.0756366111436851	1.92391468949988	62	0.0589588553880054	0.199557389002273
"O08807"	"WT_NT-WT_EGCG"	-0.110177241419331	0.0424004609306215	-2.59849159657982	32	0.0140410298598566	0.0782096419123034
"O08810"	"WT_NT-WT_EGCG"	0.0244405806135306	0.0804363716723453	0.303849864251566	66	0.76219814863335	0.883526937711418
"O08848"	"WT_NT-WT_EGCG"	-0.203001051798282	0.0594295850599707	-3.41582482181951	94	0.000940702201873034	0.0126728717657241
"O08914"	"WT_NT-WT_EGCG"	0.16934023445872	0.0845140578093244	2.00369309968261	23	0.057020363972589	0.194485079432061
"O08915"	"WT_NT-WT_EGCG"	0.0843924811541523	0.0567600269109082	1.48682947748803	51	0.14321650040544	0.347671078884037
"O08917"	"WT_NT-WT_EGCG"	-0.227057340433254	0.0921923931767914	-2.46286415407224	24	0.0213426788504973	0.102595942230068
"O08919"	"WT_NT-WT_EGCG"	0.0994322629347757	0.0170591285939107	5.82868359233004	5	0.00210084531004462	0.0221144949444016
"O08989"	"WT_NT-WT_EGCG"	-0.523727591052899	0.184516524866731	-2.83837770861536	4	0.0469447029722629	0.172782668048854
"O08997"	"WT_NT-WT_EGCG"	0.101902810684231	0.0755429542575776	1.34893864935139	25	0.189449181325751	0.411851109003799
"O09005"	"WT_NT-WT_EGCG"	0.0502638178251828	0.196463687313574	0.25584278963958	7	0.805427504818218	0.904380026838742
"O09012"	"WT_NT-WT_EGCG"	-0.01764520211906	0.0562474361292832	-0.313706780847806	2	0.78343985608994	0.895818127608277
"O09044"	"WT_NT-WT_EGCG"	-0.743794459477756	0.185409134345606	-4.01163870433324	16	0.00100708183963061	0.0132163605508948
"O09061"	"WT_NT-WT_EGCG"	-0.12062701711333	0.0266547061445079	-4.52554293637129	36	6.33959089613167e-05	0.00189767250700172
"O09111"	"WT_NT-WT_EGCG"	-1.55822908403882	0.106354674468817	-14.6512515018387	25	8.92619311798626e-14	7.89298626457935e-11
"O09114"	"WT_NT-WT_EGCG"	0.12402296573824	0.210190883788683	0.590049213851384	6	0.576688353609751	0.767776062908618
"O09117"	"WT_NT-WT_EGCG"	-0.222935088271861	0.450986780071544	-0.494327324265458	8	0.634361880970246	0.807390418492897
"O09126"	"WT_NT-WT_EGCG"	0.0611314005306824	0.0687952288263198	0.888599421407763	8	0.400146868946793	0.634957144667925
"O09131"	"WT_NT-WT_EGCG"	-0.238816387951356	0.0524770570400042	-4.55087235111721	40	4.89231661937595e-05	0.00157310217115752
"O09167"	"WT_NT-WT_EGCG"	-0.0642507693940269	0.0554291030004536	-1.1591522488376	17	0.262417517706083	0.500361595755481
"O09172"	"WT_NT-WT_EGCG"	0.0961731487525764	0.0726092689309296	1.32452991427392	27	0.19642979452734	0.423383414529678
"O35066"	"WT_NT-WT_EGCG"	-0.083764749255334	0.762778564095669	-0.109815290043767	7	0.915637830918492	0.960442173178739
"O35083"	"WT_NT-WT_EGCG"	0.0718533206528596	0.0303055811736314	2.37095999714331	6	0.0554479805047225	0.192085707194127
"O35098"	"WT_NT-WT_EGCG"	0.042913127022107	0.0530861586495939	0.808367531457001	198	0.419849220685092	0.65056394605784
"O35127"	"WT_NT-WT_EGCG"	0.0456848060262494	0.0752005597541245	0.607506196438169	27	0.548590887837503	0.749755011700637
"O35129"	"WT_NT-WT_EGCG"	-0.129009723034252	0.0482518501738309	-2.67367411963448	85	0.00899505060358963	0.0580574707753586
"O35136"	"WT_NT-WT_EGCG"	-0.11240093647059	0.0658711808297703	-1.70637500428398	42	0.0953233812367746	0.268443398962114
"O35166"	"WT_NT-WT_EGCG"	0.245151663390305	0.0909350569129592	2.69589827853693	4	0.0543247360815511	0.190621618571871
"O35215"	"WT_NT-WT_EGCG"	-0.371304049756839	0.0919044420305695	-4.04010993977129	62	0.000149752065495612	0.0036128568907487
"O35226"	"WT_NT-WT_EGCG"	-0.0981195354405626	0.0887760111294267	-1.1052483006644	25	0.279575662216253	0.517261717217446
"O35239"	"WT_NT-WT_EGCG"	-0.0821189235992487	0.0476560146441357	-1.72315969374401	5	0.145468369387688	0.350491568477011
