"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.138700983776976	0.124091321327381	-1.11773315243418	18	0.278377870198649	0.622437046948074
"A2A5R2"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.548878844337253	0.191335904839061	-2.8686662066847	33	0.00713475006374242	0.0779095653177989
"A2A791"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.348015307683012	0.414018202969623	-0.840579726173408	11	0.418480297066942	0.734412446378457
"A2A8U2"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.32367226777295	0.149147694468545	2.17014596790305	59	0.0340334885332523	0.209054191596412
"A2A8Z1"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.125838989104265	0.279345233527728	-0.450478383021252	15	0.658808343581847	0.857383488606222
"A2AAE1"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.302582656408014	0.876996399600684	-0.345021549171452	14	0.735206819043629	0.894289692348869
"A2ADY9"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.0238987826288792	0.159497627699289	0.149837856359451	11	0.88360457805711	0.954813852613609
"A2AG50"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.226130197567176	0.100864863500651	-2.24191249280495	53	0.0291764028229933	0.193592018519018
"A2AGT5"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.0717285085890569	0.0681467487151429	1.05255951225034	397	0.29318313768402	0.63476416645718
"A2AHC3"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.394446381328187	0.134596411946282	2.93058615474544	27	0.00680673792136277	0.0764039702834401
"A2AJA9"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.401510940752098	0.47668877342475	-0.842291581292046	13	0.414852333712072	0.731617779924156
"A2AJI0"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.110800634980491	0.186904307291305	-0.592820125904319	65	0.555358504007675	0.807492484095189
"A2ALS5"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.158462472133072	0.112344928586013	-1.41049955816876	207	0.159893179091707	0.477462647443694
"A2AN08"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.0977131929508133	0.10220674320128	-0.956034698790688	68	0.342441271750332	0.67702387977719
"A2APY7"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.173026726635457	0.3421354204479	0.505725850918745	13	0.621515097753709	0.83891148721476
"A2AQ19"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.0302107258944831	0.236043890911535	-0.12798774743891	12	0.900278548572086	0.961078029237734
"A2AQ25"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-1.11220197337687	0.332747209796247	-3.34248324443626	11	0.00656441914934369	0.0746567273552421
"A2ARP1"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	-0.113518736138579	0.410305604259105	-0.276668743883139	13	0.786384470623607	0.915500299246267
"A2ASS6"	"WT_NT-WT_EGCG_-_TG_NT-TG_EGCG"	0.0886588702672277	0.147772993801437	0.599966664994003	49	0.551293088926694	0.806684153374927
