"Protein"	"Label"	"log2FC"	"SE"	"Tvalue"	"DF"	"pvalue"	"adj.pvalue"
"A2A432"	"WT_TG"	-0.0602850810240705	0.0397047620797755	-1.51833376820001	8	0.16741070258982	0.405429381128823
"A2A5R2"	"WT_TG"	-0.118514281758343	0.102831839009514	-1.15250571126495	15	0.26715033917451	0.523968531504782
"A2A699"	"WT_TG"	-0.679188134704951	0.362095289131894	-1.87571657265487	3	0.157360422733942	0.391970507537274
"A2A791"	"WT_TG"	-0.188891358730487	0.32809595998623	-0.575719855673976	6	0.585733719191861	0.784649683249872
"A2A8U2"	"WT_TG"	0.0991672163994009	0.097754914941574	1.0144473703309	26	0.319717196326668	0.574536172801912
"A2A8Z1"	"WT_TG"	-0.101085055662327	0.0982801235370979	-1.02854017703966	5	0.350856416697762	0.60785532892871
"A2AAE1"	"WT_TG"	-0.899495987825132	0.87018394561906	-1.03368488048262	6	0.341136978564933	0.595369519889294
"A2ADY9"	"WT_TG"	-0.132784968633472	0.148102832847111	-0.896572780417694	5	0.411032234805369	0.663087328069169
"A2AG50"	"WT_TG"	-0.114588627801197	0.0742484644029675	-1.54331310044733	24	0.135839091409457	0.363530310744167
"A2AGT5"	"WT_TG"	0.175506940773724	0.0477888399493665	3.6725507662391	176	0.000318360818588825	0.00681998151664163
"A2AHC3"	"WT_TG"	0.282962575192434	0.0635582443491499	4.45202000291278	12	0.000790076592539046	0.0127341756679823
"A2AJA9"	"WT_TG"	-0.146263387450726	0.0843913170710796	-1.73315682853408	5	0.143605949594819	0.374743144656956
"A2AJI0"	"WT_TG"	-0.0530123422967892	0.069298129997374	-0.764989506914516	40	0.448767861057955	0.691397543723372
"A2ALS5"	"WT_TG"	0.00934831075307384	0.0896906581441426	0.104228366103079	91	0.917217500016293	0.962335415333736
"A2AN08"	"WT_TG"	-0.0189743996293009	0.066753685184759	-0.284244975790985	49	0.777420409871664	0.898603480346461
"A2APY7"	"WT_TG"	0.190852287909872	0.110584958270504	1.72584310646503	6	0.13512898876662	0.362527329840657
"A2AQ19"	"WT_TG"	-0.0177954407883229	0.14876628428159	-0.119620120071286	4	0.910551353153774	0.959739773971767
"A2AQ25"	"WT_TG"	-0.728176826349744	0.166021493164163	-4.3860394968844	4	0.0118190635174431	0.0793480758416554
"A2ARP1"	"WT_TG"	-0.231106173179696	0.27396205210401	-0.84357001783574	5	0.437394391930274	0.683606147030268
"A2ASS6"	"WT_TG"	-0.00847669946809038	0.131233051139644	-0.0645927180270341	23	0.94905641591379	0.979582426393776
"A2ASZ8"	"WT_TG"	-0.204106364853454	0.121237291774855	-1.68352791344507	40	0.100062944425899	0.307266276366478
"A2AVJ5"	"WT_TG"	-0.144222689635022	0.235735161714599	-0.611799650871051	6	0.563119186477363	0.771473285473987
"A2AWA9"	"WT_TG"	0.208000768097269	0.0988398044701864	2.10442310375077	11	0.0591455615237699	0.223009454836211
"A2BDX3"	"WT_TG"	0.509545331574741	0.225124319217805	2.26339532461512	7	0.058040026921709	0.222060768952876
"A2CG49"	"WT_TG"	-0.609844016920008	0.223754349782953	-2.7255068672925	5	0.0415017349794238	0.179186884844494
"A2RSJ4"	"WT_TG"	-0.268502730761714	0.0973712290301472	-2.75751609008224	6	0.0329621649456642	0.152950805351191
"A2RT62"	"WT_TG"	0.15911949036603	0.0477421157749487	3.33289565791559	7	0.0125411800763997	0.0831874924248338
"A4Q9E5"	"WT_TG"	-0.314348240134968	0.536198960778373	-0.586252982808181	5	0.583171298020873	0.783829062741473
"A6H5Z3"	"WT_TG"	0.280810452764641	0.374069161467482	0.750691266991952	9	0.47200836131621	0.70702009377979
"A6H630"	"WT_TG"	-0.200926557015503	0.0821897333407849	-2.4446673428468	6	0.0501526645450374	0.200949146354807
"A6H6A9"	"WT_TG"	0.447155932502822	0.548401614889093	0.815380408012208	6	0.446006727057751	0.68952949730022
"A6X8Z5"	"WT_TG"	-0.708738460658614	0.120729783039942	-5.8704525330269	4	0.00420530062723201	0.0389072229459751
"B0V2N1"	"WT_TG"	0.0459054344421579	0.193807349976936	0.236861163663922	6	0.820644167978605	0.916055946831648
"B1AR13"	"WT_TG"	0.546784664567308	0.237849930333463	2.29886409384574	7	0.0550832202025058	0.212574680781501
"B1AXV0"	"WT_TG"	0.220304947921586	0.0744965784182076	2.95724921331073	8	0.0182226493022974	0.108543606713685
"B1AY13"	"WT_TG"	-0.216864638610375	0.23453749819439	-0.924648042551529	7	0.385914991401643	0.639957727827119
"B1AZP2"	"WT_TG"	0.259881105377392	0.170817113969955	1.52139969665512	7	0.171969005437597	0.410378695931487
"B2RPU2"	"WT_TG"	-0.155317736581797	0.0970157416649123	-1.60095396805043	29	0.120225929092107	0.34535867695652
"B2RQC6"	"WT_TG"	-1.04599370472996	0.0568608533047634	-18.395673718149	3	0.00035052799448243	0.00721722957425674
"B2RSH2"	"WT_TG"	0.0402856690520513	0.0642383484085514	0.627128032555216	46	0.533675844455537	0.751647582773301
"B2RUJ5"	"WT_TG"	0.145620050609809	0.101666502066243	1.43233068562669	11	0.179848291445344	0.420785029414288
"B2RUR8"	"WT_TG"	0.0700958202096488	0.1105123094022	0.634280656958686	18	0.533876581812592	0.751647582773301
"B2RXC1"	"WT_TG"	-0.0890677788145502	0.284940345176341	-0.31258395071933	5	0.7672134099306	0.892465487952771
"B2RXS4"	"WT_TG"	0.0942100373698008	0.0961935574759497	0.979379906948084	57	0.331530959255112	0.588251486654601
"B2RY56"	"WT_TG"	0.230426323424971	0.0660826970222828	3.48693884796004	14	0.00362817911732849	0.0345550107377649
"B9EJA2"	"WT_TG"	0.185793037745173	0.0956416228047866	1.94259604026579	43	0.0586319946467193	0.222955222591227
"B9EKR1"	"WT_TG"	0.0516252659634598	0.0649248173870365	0.79515458096256	115	0.428161672195667	0.67752637777031
"D3YXK2"	"WT_TG"	0.0620415862968958	0.031790325341352	1.95158701997283	36	0.0588011372823978	0.222955222591227
"D3YZP9"	"WT_TG"	-0.127863587270516	0.167277794146691	-0.76437872655344	13	0.458292292206076	0.696364457188499
"D3YZU1"	"WT_TG"	-0.148283880594601	0.0598209627968824	-2.47879461750036	132	0.0144437197539478	0.0913828237363444
"D3Z7P3"	"WT_TG"	0.147712771027856	0.0548365282197319	2.69369297844615	160	0.00782015219068044	0.0610863642614117
"E9PUL5"	"WT_TG"	0.145096789576913	0.0605558619953052	2.39608164752345	32	0.0225893355343612	0.121913959353628
"E9PV24"	"WT_TG"	0.146004032558388	0.0804973026978966	1.81377546408401	40	0.0772192744361391	0.262326430903209
"E9PZQ0"	"WT_TG"	-0.503663658880633	0.137301881631814	-3.66829392936688	4	0.0214232780762158	0.118333766329035
"E9Q1P8"	"WT_TG"	-0.147829846442218	0.0382431748848081	-3.86552232882062	5	0.0118137037512378	0.0793480758416554
"E9Q401"	"WT_TG"	0.0556644635507111	0.0639935087724618	0.869845467430676	98	0.386510425864918	0.639961982465326
"E9Q557"	"WT_TG"	0.158864830190198	0.0606401978837099	2.6197940596245	6	0.0395971590711752	0.174356594884879
"E9Q6B2"	"WT_TG"	-0.26252924697117	0.0879346409983034	-2.98550427898187	4	0.0405177154520764	0.176653630044095
"E9Q735"	"WT_TG"	-0.0832888914323457	0.104315767187349	-0.798430512261495	8	0.447672422755573	0.6905620167323
"E9Q8I9"	"WT_TG"	-0.229115980475441	0.187334999260454	-1.22302816547856	5	0.275813546885655	0.53223142074646
"F6SEU4"	"WT_TG"	0.120773349619865	0.108945770969649	1.10856390794196	9	0.296361886172861	0.555893121931401
